No,Kalimat,Deskripsi Topik,Detail Topik,Sentimen,Skor Sentimen
4040,simpel lebih dipermudah semoga biaya layanan diperkecil,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,0.999
4041,Semoga segera di kirim ke rumah,Layanan Pengiriman STNK ke Rumah,"rumah, langsung, kirim, stnk, samsat",Netral,0.795
4042,sangat sangat tidak membantu,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.896
4043,masih sangat bagus aplikasi e Dempo terdahulu,Proses Pengurusan via Aplikasi SIGNAL,"signal, urus, samsat, digital, ambil",Negatif,0.766
4044,sip sangat membatu dan mempermudah,Perbandingan Layanan Online vs. Kantor Samsat,"kantor, samsat, online, daerah, kota",Positif,0.992
4045,Sangat Bagus dan Membantu,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.993
4046,pembayaran pajak jd lebih mudah hemat waktu tenaga dan pengiriman E TBPKP nya juga cepet sampai rumah,Layanan Pengiriman STNK ke Rumah,"rumah, langsung, kirim, stnk, samsat",Positif,0.995
4047,Thx u,Permintaan Bantuan dan Saran Peningkatan,"bantu, tingkat, proses, samsat, rantau",Positif,0.854
4048,canggih jadi gak repot lagi mau antri di samsat waktu bayar pajak,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.999
4049,Kenapa sudah ngisi data dan mau klik.lanjut pembayaran gak bisa ya ktranganya signal gak ada pdahal.kenceng,Kendala Teknis Aplikasi (Loading),"orang, sibuk, data, bayar, bank",Negatif,0.83
4050,aplikasi cukup informatif cuman nih pas mau bayar no registrasi pembayaran yg bikin bingung jika aplikasi di close ga ada informasi keterangan di menu aplikasi,Fitur dan Layanan Bantuan Aplikasi,"bikin, sistem, antar, chat, cek",Negatif,0.997
4051,untuk daerah SRAGEN JAWA TENGAH INDONESIA sangat lambat untuk proses pengiriman tolong di perbaiki layanan ini saya pakai layanan express tp tidak sesuai,Layanan Jasa Kurir Pengiriman,"pos, kirim, via, indonesia, guna",Negatif,0.633
4052,cepat satset,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.975
4053,mudah praktis dan pelayanan cepat,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,1.0
4054,tanpa harus ke Samsat,Perbandingan Layanan Online vs. Kantor Samsat,"kantor, samsat, online, daerah, kota",Positif,0.597
4055,Tingkatkan terus pelayanan terbaiknya,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Netral,0.803
4056,bagus apknya jd byr pajak tidak di calo in org pajak utk transaksi pertama pajak di kirim krmh tp utk transaksi ke dua pajak gk ada di kirim krmh krn tergantung petugas Samsat yg di wilayah kendaraan kita mau kirim atau tidak ini yg msh sistemnya nya kurang bagus hrsnya sistemnya bisa di rubah lagi utk pengiriman pajak nya,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.974
4057,aplikasi ga guna daftar kok muter,Rincian Biaya Administrasi dan Transaksi,"kali, daftar, biaya, transaksi, ktp",Negatif,0.988
4058,aplikasi negaraidentik lemot,Topik Tidak Relevan,Tidak Ditemukan,Negatif,0.971
4059,alkhamdulillah,Topik Tidak Relevan,Tidak Ditemukan,Netral,0.436
4060,mempermudah i tikad baik masyarakat untuk taat pajak,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.934
4061,mantaapp,Topik Tidak Relevan,Tidak Ditemukan,Netral,0.412
4062,lumayan memudahkan untuk pembayaran pajak tapi kedepannya harus bisa memproses pajak tahunan disini juga tanpa harus datang ke Samsat,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.686
4063,mau bayar pajak kendaraan aj kok di persulit ribet banget ayolah pak pol,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Negatif,0.937
4064,mudahkan bayar pajak yang bukan atas nama kita sendiri,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Netral,0.599
4065,recomended,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.671
4066,jadi mudah bayar pajaknya,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.936
4067,aplikasi yg sangat bagus,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.82
4068,sangat membantu mempermudah untuk kaum pekerja,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.996
4069,mudah dan bener langsung dikirim ke rmh lwt pos jd menghemat waktu,Layanan Pengiriman STNK ke Rumah,"rumah, langsung, kirim, stnk, samsat",Positif,0.995
4070,sangat membantu dan proses nya cepat tdk perlu antri lagi di samsat,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,0.999
4071,proses hari senin hari jumat udah terima .terima kasih,Rincian Biaya Administrasi dan Transaksi,"kali, daftar, biaya, transaksi, ktp",Positif,0.977
4072,MANTAAPPP MUDAH SEKALI BAYAR MELALUI ONLINE,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.871
4073,Sudah saya lakukan,Rincian Biaya Administrasi dan Transaksi,"kali, daftar, biaya, transaksi, ktp",Netral,0.531
4074,alhamdulillah sangat terbantu ga perlu antri antri lagi kaya dulu,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,1.0
4075,keren cepet cm tinggal ngetik sampai,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.994
4076,tidak perlu datang ke samsat,Perbandingan Layanan Online vs. Kantor Samsat,"kantor, samsat, online, daerah, kota",Positif,0.626
4077,tidak perlu antri antri lagi,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,0.999
4078,dokumen langsung sanpai rumah,Layanan Pengiriman STNK ke Rumah,"rumah, langsung, kirim, stnk, samsat",Positif,0.962
4079,prosesnya pengesahan stnk sangat mudah dan cepat gak perlu ngantri tinggal ambil disamsat mudah mudahan pas pengambilan stnk nya dipermudah juga sama petugas.trims,Proses Pengurusan via Aplikasi SIGNAL,"signal, urus, samsat, digital, ambil",Positif,0.996
4080,Kendaraan bermotor anda tidak berhasil ditambahkan padahal milik pribadi,Rincian Biaya Administrasi dan Transaksi,"kali, daftar, biaya, transaksi, ktp",Netral,0.496
4081,alhamdulillah.sudah selesai dengan aman.terimakasih.ternyata mudah,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Positif,0.922
4082,layanan sangat membantu dan Memberi kemudahan untuk melakukan pembayaran pajak,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.997
4083,Siiplah,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.608
4084,mantapppp pelayanan online cepettt bgttt,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,0.978
4085,no ribet no antri,Fitur dan Layanan Bantuan Aplikasi,"bikin, sistem, antar, chat, cek",Positif,0.995
4086,sangat membantu disaat tidak sempat perpanjang STNK offline,Perpanjangan STNK 5 Tahunan (Ganti Plat),"stnk, panjang, samsat, ganti, plat",Positif,0.967
4087,over all so fast tingkatkan,Permintaan Bantuan dan Saran Peningkatan,"bantu, tingkat, proses, samsat, rantau",Positif,0.995
4088,Terimakasih sangat mempermudah dalam proses pembayaran pajak kendaraan,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.995
4089,Tinggal tunggu dirumah,Layanan Pengiriman STNK ke Rumah,"rumah, langsung, kirim, stnk, samsat",Positif,0.602
4090,terimakasih telah membantu memudahkan wajib pajak kendaraan,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,1.0
4091,sangat membantu proses cepat juga,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Positif,0.994
4092,udah perpanjang pajak motor yang ke x sangat membantu,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.872
4093,mantap tnpa ribet,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.995
4094,mantap sangat m mbantu sekali aplikasi ini terimakasih,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.991
4095,saya pembayarannya agak mahal dari tahun kemarin sekarang ada tambahan biaya aplikasi sama transfer pihak banknya,Rincian Biaya Administrasi dan Transaksi,"kali, daftar, biaya, transaksi, ktp",Negatif,0.881
4096,dulu mah ga ada,Perpanjangan STNK 5 Tahunan (Ganti Plat),"stnk, panjang, samsat, ganti, plat",Netral,0.626
4097,mantap respon cepat dan bagus tidak perlu ke biro jasa lagi,Perpanjangan STNK 5 Tahunan (Ganti Plat),"stnk, panjang, samsat, ganti, plat",Positif,1.0
4098,dan cepat sampai di tujuan alamat beda di stnk nya gpp top polda,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Positif,0.717
4099,Sangat membantu dan mempermudah bagi masyarakat yg ingn mmbyar PJK kndraan dan untk lyanan customer servisnya respon nya bgus dan mmberikan pnjelasan dengan baik msukan aja klo bisa untuk pngiriman bisa di percepat proses nya dan di perbanyak metode pengiriman nya,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Positif,0.993
4100,Sangat mempermudah pembayaran pajak tahunan,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.493
4101,apk memudahkan kita cukup dari rmh saja bayar pajak ngga pake antri dan ngga ribet,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.994
4102,Ko setelah melakukan pembayaran apk nya ngga membuka hasil transaksi ya,Rincian Biaya Administrasi dan Transaksi,"kali, daftar, biaya, transaksi, ktp",Negatif,0.972
4103,mantap cepat sangat membantu jangan ragu lagi langsung bayar pajak di signal,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,1.0
4104,membantu banget buat yg merantau di luar kota saat mau pajek gk usah balik kampung,Perbandingan Layanan Online vs. Kantor Samsat,"kantor, samsat, online, daerah, kota",Positif,0.942
4105,Amanah pokonya,Layanan Jasa Kurir Pengiriman,"pos, kirim, via, indonesia, guna",Positif,0.997
4106,Berkas sudah sampai dengan Baik dan Sangat membantu pelayanan mantaf Terimakasih,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,0.996
4107,mantap cepat dan praktis banget sumpah kenapa gak dari dulu hehehe,Topik Tidak Relevan,Tidak Ditemukan,Positif,1.0
4108,pengiriman cepat gak sampai Minggu,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Negatif,0.635
4109,Proses bayar pajak kendaraan sangat simpel dan pengiriman cepat langsung kerumah,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.981
4110,aplikasinya mudah dan stnk nya dikirim dalam hari,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Negatif,0.805
4111,okee baguss hari juga dikirim pajak barunyaa,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.959
4112,Alhamdulillah mempermudah perbaruan STNK tida usah ngantri lagi,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,1.0
4113,mantap tinggal pencet pencet HP tunggu beberapa hari pajak beres ga pake ke samsat ga pake antri josss,Layanan Pengiriman STNK ke Rumah,"rumah, langsung, kirim, stnk, samsat",Positif,1.0
4114,terima kasih lebih cepat dan mudah tanpa harus mengantri diloket pembayaran pajak motor melalui online,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,1.0
4115,pelayanan yang aman terjamin simpel dan memuaskan,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,1.0
4116,Pelayanan baik pengiriman dokumen cepat sangat membantu dan mempermudah pembayaran pajak terima kasih,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.991
4117,praktis dan hebat tenaga pengiriman cepet juga,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Positif,1.0
4118,kode otp nya kadaluarsa terus,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Negatif,0.985
4119,Untuk bayar pajak tahunan sih lumayan bermanfaat dan cepat prosesnya,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.7
4120,Tingkatkan lagi pelayannya pak pol,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,0.516
4121,alhamdulillah diberi kemudahan lewat aplikasi ini jadi ga ngantri lagi,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,1.0
4122,pekerjaan jadi mudah cepat tanpa ribet terima kasih,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.998
4123,Ga perlu lagi jauh ke kantor sekarang ada aplikasi ini sangat membantu cukup klik sudah jadi tinggal Terima beres mantulll,Layanan Pengiriman STNK ke Rumah,"rumah, langsung, kirim, stnk, samsat",Positif,0.971
4124,Signal Samsat sangat dimudahkan dalam pelayanan pembayaran pajak kendaraan tahunan dan pengiriman,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.906
4125,sangat membantu untuk mempermudah pembayaran pajak ke negara,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.995
4126,Bagus gampang buat perpanjang stnk,Perpanjangan STNK 5 Tahunan (Ganti Plat),"stnk, panjang, samsat, ganti, plat",Positif,0.988
4127,alhamdulillah mudah ga ribet,Topik Tidak Relevan,Tidak Ditemukan,Positif,1.0
4128,terimakasih untuk bayar pajak jadi mudah dan prosesnya cepat mantap,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.999
4129,Mudah dan Prosesnya Cepat SIGNAL mantap,Proses Pengurusan via Aplikasi SIGNAL,"signal, urus, samsat, digital, ambil",Positif,0.999
4130,Mantap sangat memudahkan untuk melakukan pembayaran pajak kendaraan,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.998
4131,sungguh sngt praktis,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.984
4132,by aplikasi tnpa hrs antri krn psti butuh waktu,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,0.857
4133,praktis bnget deh pokoknya,Layanan Jasa Kurir Pengiriman,"pos, kirim, via, indonesia, guna",Positif,0.999
4134,trimakasih Signal,Proses Pengurusan via Aplikasi SIGNAL,"signal, urus, samsat, digital, ambil",Positif,0.944
4135,luamayn makan waktu,Rincian Biaya Administrasi dan Transaksi,"kali, daftar, biaya, transaksi, ktp",Netral,0.607
4136,Aman surahman sangat membantu jika tidak sempat kekantor samsat,Perbandingan Layanan Online vs. Kantor Samsat,"kantor, samsat, online, daerah, kota",Positif,0.994
4137,sangat membantu siapapun yang bikin ini terimakasih banyak,Fitur dan Layanan Bantuan Aplikasi,"bikin, sistem, antar, chat, cek",Positif,0.952
4138,bagus gk perlu dtg antri di samsat,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,0.999
4139,Cepet proses nya Ga harus ngantri mantaap,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,0.999
4140,SUGGUH SANGAT BERGUNA LAYANAN APK INI,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Negatif,0.611
4141,SAYA CUKUP BAYAR VIA TRANSFER,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Netral,0.56
4142,LAYANAN LANGSUNG SAMPAI DIRUMAH,Layanan Pengiriman STNK ke Rumah,"rumah, langsung, kirim, stnk, samsat",Positif,0.989
4143,TINGGAL DUDUK MANIS,Layanan Jasa Kurir Pengiriman,"pos, kirim, via, indonesia, guna",Positif,0.969
4144,GAK PERLU REPOT,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.992
4145,SANGAT EFISIEN WAKTU TENAGA,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.976
4146,BENAR PRIMA PELAYANNYA,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,0.957
4147,SUKSES,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.895
4148,SELALU,Topik Tidak Relevan,Tidak Ditemukan,Netral,0.49
4149,SIGNAL,Proses Pengurusan via Aplikasi SIGNAL,"signal, urus, samsat, digital, ambil",Netral,0.574
4150,sangat praktis dan sangat membantu yang jauh dari keberadaan Samsat,Perbandingan Layanan Online vs. Kantor Samsat,"kantor, samsat, online, daerah, kota",Positif,0.993
4151,cepat kilat,Perbandingan Layanan Online vs. Kantor Samsat,"kantor, samsat, online, daerah, kota",Positif,0.932
4152,siiiip,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.586
4153,terima kasih bayar pajak tahunan makin mudah lewat SIGNAL,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.941
4154,seterusnya tahunan lagi ya,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Netral,0.889
4155,bayar pajak satset tanpa calo,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.844
4156,bisa dikirim ke luar pulau jawa,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Netral,0.747
4157,mempermudah pembayaran pajak tolong ditingkatkan untuk kelayakan servernya saja terkadang lambat padahal sinyal dan jaringan lancar mungkin karena server sedang sibuk oleh banyaknya pengguna yang masuk secara bersamaan,Layanan Jasa Kurir Pengiriman,"pos, kirim, via, indonesia, guna",Negatif,0.502
4158,sangat luar biasa,Perbandingan Layanan Online vs. Kantor Samsat,"kantor, samsat, online, daerah, kota",Netral,0.708
4159,makin gampang melakukan,Rincian Biaya Administrasi dan Transaksi,"kali, daftar, biaya, transaksi, ktp",Positif,0.876
4160,pembayaran STNK,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Negatif,0.616
4161,Sangat memudahkan respon cepat,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,0.989
4162,alhamdulillah cepat jadi terima kasih samsat,Perbandingan Layanan Online vs. Kantor Samsat,"kantor, samsat, online, daerah, kota",Positif,1.0
4163,keren gercep,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.818
4164,proses cepat hr selesai pengiriman langsung ke TKP terima kasih,Proses dan Durasi Pengiriman STNK,"kirim, proses, stnk, tanggal, minggu",Positif,0.991
4165,bagus simple gak usah ngantri klo bayar pajak,Pembayaran Pajak Kendaraan Online,"bayar, pajak, kendara, tahun, online",Positif,0.999
4166,Memudahkan sekali,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.799
4167,ga perlu antri di samsat,Kualitas Pelayanan dan Antrean di Samsat,"layan, antri, samsat, masyarakat, respon",Positif,0.994
4168,cukup pencet HP,Layanan Pengiriman STNK ke Rumah,"rumah, langsung, kirim, stnk, samsat",Positif,0.843
4169,STNK langsung dikirim,Layanan Pengiriman STNK ke Rumah,"rumah, langsung, kirim, stnk, samsat",Negatif,0.751
4170,hari udah sampe,Rincian Biaya Administrasi dan Transaksi,"kali, daftar, biaya, transaksi, ktp",Negatif,0.803
4171,top bgt,Topik Tidak Relevan,Tidak Ditemukan,Positif,0.887
4172,sudah kali melalui aplikasi ini,Rincian Biaya Administrasi dan Transaksi,"kali, daftar, biaya, transaksi, ktp",Negatif,0.393
4173,apalagi kita LG kerja ga sempat ngurus,Proses Pengurusan via Aplikasi SIGNAL,"signal, urus, samsat, digital, ambil",Positif,0.747
4174,mantap cepat hari sampai ke rumah,Layanan Pengiriman STNK ke Rumah,"rumah, langsung, kirim, stnk, samsat",Positif,0.999
4175,ok nihh,Topik Tidak Relevan,Tidak Ditemukan,Negatif,0.452
